Year,Beat,crime_counts,avg_response_time
2012,Q2,3221,18.205128841974553
2010,U3,3480,18.236327586206865
2016,C2,2310,18.252354978355008
2016,N1,2528,18.252836234177224
2012,N1,2363,18.282378332628006
2016,W2,3663,18.304316134316142
2012,J3,2167,18.361679741578197
2009,B1,1953,18.369190988223238
2016,HS,1,18.4
2013,J2,2517,18.42210568136667
2011,J2,2284,18.44801225919444
2015,J1,2499,18.455642256902774
2017,J1,2831,18.470625220770017
2013,U3,3875,18.49903741935486
2016,W1,3708,18.50689590075514
2016,Q2,3461,18.51631609361455
2009,Q2,1942,18.534979402677656
2013,Q2,3278,18.542846247712024
2018,CTY,5,18.55
2018,E,8,18.5675
2019,U1,3664,18.568591703056786
2016,Q1,2664,18.605334084084117
2014,C2,2388,18.60656197654938
2009,B2,2393,18.616577517760128
2014,N1,2671,18.63298390116064
2015,W1,3453,18.659417897480466
2013,Q1,2590,18.694965250965282
2013,B2,3743,18.730959123697584
2019,Q2,2612,18.73797473200606
2011,B1,2941,18.741247874872514
2009,N,6,18.756666666666664
2019,N1,1842,18.758127035830604
2018,W1,3433,18.78420040780657
2013,TAC2,1,18.8
2016,B2,3249,18.80758387196058
2019,99,113,18.809469026548676
2015,Q2,3185,18.824860282574562
2014,Q1,2643,18.82787741203178
2016,U3,4136,18.845834139264984
2017,W1,3671,18.881340234268606
2010,CDD,7,18.887142857142855
2012,B2,3429,18.908396033829085
2015,Q1,2606,18.919669992325428
2019,Q1,1924,18.967203742203754
2012,99,133,18.970526315789492
2017,Q1,2464,19.000393668831176
2009,U3,2047,19.015398143624786
2017,Q2,3395,19.026936671575843
2013,J3,2442,19.042805077805067
2017,B1,4020,19.053417910447827
2018,Q2,2816,19.07127840909091
2013,B3,3243,19.072291088498346
2012,CDD,12,19.07916666666667
2017,J3,2846,19.084188334504553
2009,J3,1529,19.090568999345976
2009,99,93,19.09698924731183
2019,J3,2370,19.103447257384026
2018,U1,4199,19.10466301500358
2016,B1,3957,19.134882486732376
2013,B1,3558,19.157633501967435
2015,N1,2352,19.161079931972818
2017,U3,3716,19.16509149623253
2017,B3,3329,19.174415740462617
2019,HS,1,19.18
2016,CTY,4,19.225
2015,U3,3564,19.295996071829368
2018,J1,2485,19.30511871227362
2018,J3,2727,19.313322332233273
2012,B3,3039,19.317505758473168
2014,J2,2664,19.3242867867868
2016,B3,3360,19.384955357142847
2018,N1,2311,19.39466464733882
2018,99,117,19.411965811965814
2016,J3,2735,19.418954296160898
2015,B2,3240,19.419188271604913
2014,B1,3238,19.432010500308827
2015,B3,3084,19.448330090791185
2019,US,1,19.45
2015,B1,3499,19.465818805372955
2016,GS,2,19.48
2012,COMM,15,19.480666666666668
2014,J3,2455,19.566496945010194
2009,J2,1619,19.58995058678195
2015,J2,2503,19.599192968437837
2019,S,4,19.605
2014,B2,3453,19.610518389805925
2017,99,122,19.61237704918033
2011,CCD,1,19.62
2014,U3,3838,19.62682386659719
2012,J2,2206,19.660911151405227
2019,CTY,7,19.66142857142857
2015,J3,2622,19.706762013729957
2014,CTY,3,19.716666666666665
2012,B1,3002,19.76703864090612
2019,J1,1926,19.82379543094498
2017,J2,2269,19.862776553547835
2018,U3,3494,20.0545392100744
2016,J2,2425,20.05840412371135
2018,B1,3539,20.12337383441649
2019,U3,2955,20.181472081218278
2014,B3,3266,20.31119105939986
2019,B3,2384,20.3771308724832
2018,Q1,2199,20.37732150977713
2009,N1,1404,20.39843304843305
2019,J2,1997,20.47061091637457
2019,B2,3050,20.663275409836054
2019,B1,3123,20.690598783221283
2018,B3,3070,20.694729641693755
2010,ED,1,20.72
2017,N,5,20.778
2013,CTY,5,20.79
2016,99,151,20.875430463576166
2018,B2,3341,20.92710266387306
2018,J2,2162,20.97511563367254
2018,N,10,21.154
2016,N,8,21.1725
2014,COMM,12,21.296666666666667
2011,CDD,4,21.3325
2014,DET,2,21.375
2013,SD,1,21.5
2018,W,7,21.647142857142857
2018,INV,16,21.671250000000004
2019,INV,13,21.75538461538462
2017,CTY,3,21.886666666666667
2011,99,153,22.15653594771243
2014,N,16,22.26125
2009,SS,1,22.27
2009,INV,16,22.323125
2016,US,1,22.5
2014,PSPSN2,1,22.72
2013,99,163,22.731595092024545
2017,CD,1,22.82
2019,E,4,23.0475
2013,TQ,2,23.255
2013,WS,1,23.42
2010,INV,23,23.952608695652174
2019,NS,1,24.02
2012,E,20,24.188000000000002
2019,W,3,24.313333333333333
2018,HS,1,24.33
2015,99,183,24.440382513661202
2010,SS,1,24.53
2016,S,16,25.018125
2014,99,177,25.022542372881354
2017,SD,1,25.03
2015,DET,2,25.185
2011,KS,1,25.67
2015,HS,2,25.735
2014,W,7,25.82428571428571
2012,N,21,26.11238095238095
2018,T,1,26.37
2010,COMM,3,26.433333333333334
2018,OS,1,26.55
2013,COMM,16,26.663125
2016,NS,1,26.72
2015,H3,1,27.45
2014,SP,2,27.625
2019,NP,2,27.845
2015,SP,2,27.86
2012,CS,1,28.12
2019,CS,2,28.715
2012,INV,3,28.929999999999996
2015,E,14,29.149285714285718
2015,S,21,29.713809523809523
